timeframe,atr_period,atr_mult,bias_tf,zlsma_len,direction,min_atr,n_trades,trades_per_year,sharpe_px,max_dd_px,profit_factor_px,win_rate,expectancy_px,sharpe_acct,max_dd_acct,profit_factor_acct,total_return_acct,cagr_acct,equity_final
H1,5,5.0,H4,20,short,0.0,505,23.482017823042646,-0.5435486730104615,0.6504940422209067,0.7158799538680025,0.31287128712871287,-0.001866183409015,-0.4039037833054167,0.3817083168739146,0.7739658653066314,-0.359306565951635,-0.020488763648527364,6406.934340483668
H1,5,5.0,H4,20,short,1.0,482,22.432530581039753,-0.5511141485104211,0.6428412180344789,0.7083194418691987,0.3091286307053942,-0.001970537990271389,-0.40379962283563514,0.3811517184938381,0.7710403319053515,-0.3578234758024682,-0.020401442464933695,6421.765241975329
H1,5,5.0,H4,32,both,0.0,580,26.969446212603437,0.008141517339819302,0.31170119527446927,1.0049462322965115,0.3810344827586207,2.8197034624148297e-05,0.07946623750629328,0.1944318173317675,1.0556428508078453,0.06839492302265548,0.003080994809506077,10683.949230226552
H1,5,5.0,H4,32,both,1.0,568,26.42154865002547,-0.019350432055625817,0.3117011952744687,0.9882579736953382,0.38204225352112675,-6.808457615379462e-05,0.06267140538398108,0.19300252751309632,1.0443800620454675,0.043234939796655825,0.0019708288954614073,10432.34939796654
H1,5,5.0,H4,32,long,0.0,423,19.73441691148295,0.3540505407188599,0.17201872525631234,1.262851524148128,0.4231678486997636,0.0013180748656086761,0.3366048707109252,0.15801908296295675,1.2649601985985464,0.39563268158379583,0.01567339219596109,13956.326815837952
H1,5,5.0,H4,32,long,1.0,414,19.31453570060033,0.32075725914331243,0.1720187252563119,1.2385707223497158,0.42028985507246375,0.0012104743097030002,0.3122727336710094,0.1569213996058657,1.2492217439661772,0.3619878950990081,0.014517744047001013,13619.87895099007
H1,5,5.0,H4,32,short,0.0,380,17.669637173774664,-0.03583546565630839,0.3624575752781922,0.9721094864193519,0.34210526315789475,-0.0001720058597859079,0.019775801307218576,0.2500801760361431,1.016631722409359,-0.006238935924287814,-0.0002909709768724733,9937.610640757139
H1,5,5.0,H4,32,short,1.0,364,16.95587297538579,-0.03871240306389643,0.362457575278192,0.9694144961611594,0.34065934065934067,-0.00019304583679210184,0.0133855315021937,0.24871582808185033,1.0113272128334896,-0.01300739666589601,-0.0006097006749206102,9869.926033341037
H1,5,5.0,H4,50,both,0.0,513,23.948523773006134,0.1296587628423316,0.3111934602710029,1.075831947081958,0.37037037037037035,0.0004140249063754623,0.24929378210609457,0.19246570712476507,1.1723713775595357,0.28942717976967924,0.011937490201370027,12894.271797696776
H1,5,5.0,H4,50,both,1.0,497,23.20159125766871,0.10942968017439791,0.31119346027100414,1.0644119395852603,0.3702213279678068,0.00035707267238873356,0.23505187178781073,0.20131696088835127,1.1628987135163724,0.26618134797957294,0.011078430399704464,12661.81347979573
H1,5,5.0,H4,50,long,0.0,344,16.106396615818483,0.4323683284521736,0.14894982230489184,1.3641894909519257,0.4186046511627907,0.0017462547528915811,0.40233860901390733,0.1287269163986976,1.3733820304669366,0.4339703127680796,0.017019674136482754,14339.703127680794
H1,5,5.0,H4,50,long,1.0,333,15.591366491475451,0.4258406497732735,0.14894982230489218,1.363518909532197,0.42042042042042044,0.001759659510900213,0.4020600752554974,0.12831050358603135,1.3796931727044013,0.4320670768870669,0.016956433443181762,14320.67076887068
H1,5,5.0,H4,50,short,0.0,324,15.173868444672394,-0.33835093516027137,0.43494584363194266,0.7670039226512908,0.3148148148148148,-0.0015208776106016742,-0.2386243048294351,0.33155901534274823,0.8081349395270702,-0.2283937651664214,-0.012069457049846188,7716.062348335787
