datetime,wma_9,wma_20,wma_55,hma_21,hma_55,stoch_k_14_3_3,stoch_d_14_3_3,atr_14
2024-06-21 06:00:00+00:00,2360.781111111111,2357.310047619047,2344.7564285714293,2364.847680808081,2360.817993652511,83.05000024098332,85.38301419208648,4.960688458300297
2024-06-21 07:00:00+00:00,2361.3193333333334,2358.3205714285714,2345.62275974026,2364.676842135642,2362.1692335343223,84.50551565754523,84.33650709252099,4.742782139850265
2024-06-21 08:00:00+00:00,2362.0624444444443,2359.3654285714283,2346.524292207792,2364.681820490621,2363.4646547704933,88.83385611215552,85.46312400356133,4.641869129860955
2024-06-21 09:00:00+00:00,2361.4706666666666,2359.685428571429,2347.1871753246746,2364.2956242424248,2364.526167130488,74.1530945321622,82.49748876728762,4.781021334870897
2024-06-21 10:00:00+00:00,2361.8004444444446,2360.3148095238093,2347.990987012987,2363.998755555556,2365.488748694427,71.11361506827369,78.03352190419712,5.103805525237275
2024-06-21 11:00:00+00:00,2362.5260000000003,2361.058,2348.85762987013,2363.971597691198,2366.4221064728918,66.29225853169453,70.51965604404346,5.1306765591489
2024-06-21 12:00:00+00:00,2362.874666666666,2361.5450476190476,2349.651266233766,2364.011481673882,2367.2743997285775,73.99839749228134,70.46809036408315,5.077056804923986
2024-06-21 13:00:00+00:00,2363.163555555556,2361.8808571428576,2350.41025974026,2364.084390764791,2368.0269409657803,70.41313831152175,70.23459811183251,4.917267033143712
2024-06-21 14:00:00+00:00,2363.9006666666664,2362.4034285714283,2351.2420064935072,2364.499774314574,2368.7576517298835,71.63902044987316,72.01685208455872,4.939605102204877
2024-06-21 15:00:00+00:00,2363.366666666667,2362.383,2351.8502467532467,2364.541556132756,2369.302611506218,62.720686824811686,68.25761519540217,5.128919023475968
2024-06-21 16:00:00+00:00,2358.8075555555556,2360.397,2351.7140194805193,2362.394255699856,2369.129888760049,46.43984862570901,60.26651863346459,6.828281950370546
2024-06-21 17:00:00+00:00,2352.666,2357.494714285714,2351.199123376624,2357.822106204906,2368.0516390091384,20.076611973351003,43.07904914129054,7.1719760967726405
2024-06-21 18:00:00+00:00,2346.8786666666665,2354.5259047619047,2350.6092012987015,2351.5739948051946,2366.1760715488213,9.822371362702143,25.44627732058736,7.477549232717472
2024-06-21 19:00:00+00:00,2341.1351111111107,2351.397380952381,2349.9057727272734,2344.2968115440112,2363.594419999313,5.418006128211085,11.772329821421382,7.3548671446662075
2024-06-21 20:00:00+00:00,2335.1586666666667,2347.916476190476,2349.012123376623,2336.429232323232,2360.3414947948877,6.11762755056782,7.119335013826988,7.430948062904341
2024-06-21 21:00:00+00:00,2330.7722222222224,2344.89980952381,2348.2270129870126,2329.18343953824,2356.706650329829,6.23877811689399,5.924803931890938,7.332308915554044
2024-06-21 22:00:00+00:00,2327.311777777778,2342.0596190476194,2347.4478441558445,2322.9903867243866,2352.9100913127877,8.687295790890138,7.014567152783954,7.013572564443066
2024-06-21 23:00:00+00:00,2324.624444444444,2339.3332857142855,2346.6490324675324,2317.96474978355,2349.105271481825,10.026266897303193,8.317446935029079,6.644745952697127
2024-06-24 01:00:00+00:00,2322.958222222222,2336.8217142857143,2345.8588701298704,2314.2590020202024,2345.38878918436,9.622653597283906,9.445405428492384,6.514406956075883
2024-06-24 02:00:00+00:00,2321.6962222222223,2334.269761904762,2344.9896883116876,2311.75882020202,2341.745230107195,7.732718303543237,9.127212932710082,6.321235030641887
2024-06-24 03:00:00+00:00,2321.2573333333335,2332.0768095238095,2344.1906948051956,2310.605335064935,2338.267963632928,7.444423089243621,8.266598330023557,6.141146814167479
2024-06-24 04:00:00+00:00,2321.5528888888884,2330.334380952381,2343.491857142857,2310.783089177489,2335.0504954390844,8.78980075597429,7.988980716253688,6.221064898869785
2024-06-24 05:00:00+00:00,2322.1715555555556,2328.887857142857,2342.8367012987014,2311.9876277056273,2332.1082881794136,12.425783192020054,9.553335679079293,6.17670312037908
2024-06-24 06:00:00+00:00,2322.9293333333335,2327.697428571428,2342.2074740259745,2313.888128715729,2329.448372826909,15.905231132908312,12.373605026967525,5.90193861178057
2024-06-24 07:00:00+00:00,2323.3504444444443,2326.5690476190475,2341.54537012987,2316.0346851370855,2327.0312056792413,22.37837651799343,16.9031302809739,5.655371568081945
2024-06-24 08:00:00+00:00,2323.866222222222,2325.693380952381,2340.912558441558,2318.1735821067828,2324.869240285508,32.841250358393715,23.708286003098454,5.499987884647521
2024-06-24 09:00:00+00:00,2323.9682222222223,2324.8439523809525,2340.2211168831163,2319.977631746032,2322.898931027967,44.52010456641227,33.24657714759977,5.383560178601263
2024-06-24 10:00:00+00:00,2325.4864444444443,2324.883333333333,2339.793668831169,2322.0906943722944,2321.2988152271014,64.76647763245465,47.37594418575352,5.709020165844033
2024-06-24 11:00:00+00:00,2326.759111111111,2325.0599523809524,2339.358844155844,2324.2962458874463,2320.0202102229787,77.7973580391855,62.361313412684105,5.558375868283771
