n,ic,ic_p,spread_usd_per_oz,spread_atr,nw_t,monotonicity,net_usd_per_oz,pays_costs,decile_means_usd,timeframe,feature,horizon,fdr_significant,skipped
1409253,-0.02113266125978179,6.430543733925567e-139,-0.019815182093621424,0.0058373846794751655,-2.4454248392561064,-0.8909090909090909,-0.30981518209362147,False,"[0.017824137148047356, 0.025796375402693326, 0.022111483034424097, 0.022560621102929387, 0.008492757122162804, 0.010421650232638427, 0.0016971740752740585, 0.0007617661678995598, -0.014343083048839, -0.001991044945574067]",M5,body_ratio,3,True,
1409253,-0.002743467383646695,0.00112664994597777,-0.0067491468093079715,-0.017012394982454795,-1.4694962701205792,0.03333333333333333,-0.29674914680930803,False,"[0.005109650134290755, 0.009935072768170515, 0.00787570573382162, 0.01609345184470528, 0.0035129780208074993, 0.01816195774028288, 0.015737410582491305, 0.013172091835286823, -0.0016394966750172167]",M5,upper_wick,3,True,
1409253,0.0037652374550786027,7.82930852299557e-06,0.012351940004119367,0.016133360735064984,1.3635182574750049,0.19999999999999998,-0.27764805999588066,False,"[0.0008276065152680642, 0.015957070886256006, 0.010931120096474518, 0.012860246760301348, 0.003879423609722414, 0.013570597499893101, 0.008707900657974308, 0.01228032968280069, 0.013179546519387431]",M5,lower_wick,3,True,
1409253,-0.014986476562272318,8.19207012935278e-71,0.008209151915868467,0.04212047371570146,1.1456750429363018,-0.41818181818181815,-0.2817908480841316,False,"[-0.0001603887351920857, 0.03357069348531224, 0.01600576221632445, 0.021420177548804525, 0.009918175108081148, 0.018420717120059032, 0.006939121671492358, -5.0523328011443945e-05, -0.020948021997516032, 0.008048763180676382]",M5,close_pos,3,True,
1443352,-0.006465926616221595,7.960181497879956e-15,-0.011939571555260261,-0.01018266527354883,-0.8011351215935587,0.33333333333333326,-0.3019395715552603,False,"[0.03669167775191242, -0.0037664461149409492, 0.0003719125645199091, -5.715869331769214e-05, 0.004895857874108208, 0.011758090789551345, 0.0020832784840823506, 0.0008124155610214589, 0.017700557730280182, 0.02475210619665216]",M5,signed_vol,3,True,
1443352,0.0005285940969647093,0.5253956415779872,-0.03629662731404527,-0.031374588123931665,-2.188535032503671,-0.33333333333333326,-0.3262966273140453,False,"[0.05287454273362189, 0.006106834794055326, 0.00330467315619915, 0.0007719541344785438, 0.0029838916409742487, 0.011039733952263696, -0.00033990369626179417, -0.0009670558076697419, 0.0008724148681883056, 0.016577915419576622]",M5,vol_z,3,False,
1443447,0.0012418955801929527,0.1356843117669615,-0.01887173092244275,-0.029565765617038928,-0.9230402269922755,-0.406060606060606,-0.3088717309224428,False,"[0.019507153001489533, 0.004004295264816799, 0.010175552845979216, 0.009161661297585428, 0.012189753715058125, 0.011472177575790955, 0.016522913852228947, 0.010659327717120163, -0.0011055457411063962, 0.0006354220790467848]",M5,atr_pct,3,False,
1443352,-0.0025768369549889467,0.001962802592301451,0.0063255182352289566,-0.023223173229005366,0.4948538708468421,-0.34545454545454546,-0.28367448176477106,False,"[0.021438449174149235, 0.025153289222988096, 0.008980288911213651, 0.011411854366577903, 0.005701874112307989, -0.0008742855163335587, -0.00021512453666799894, -0.011544531818339504, 0.005409360169051125, 0.02776396740937819]",M5,atr_ratio,3,True,
1290563,0.0014113079805570434,0.10887136496173087,-0.00286199121318469,-0.0014671936295356826,-0.25158521973711584,-0.22424242424242422,-0.29286199121318474,False,"[0.016852476037719347, 0.011460683734193622, 0.008329252417555047, 0.005431575521842535, 0.0036927463910174877, 0.0037516853410207887, 0.025136452392759762, 0.006292152243986338, 0.0028681347632034727, 0.013990484824534657]",M5,range_expansion,3,False,
1443340,-0.001076395413198995,0.19595196943479948,0.001907935760111737,-0.025276443661646823,0.15083890124081104,-0.12727272727272726,-0.2880920642398883,False,"[0.023379522496431993, 0.008120609142682618, 0.005477572851857837, 0.005720550944337552, 0.020471060179860293, 0.002107126525974642, -0.0033780675377943735, 0.00850277827816047, -0.002455554477808389, 0.02528745825654373]",M5,rv_ratio,3,False,
